id,season,episode,title,air_date,production_code,runtime,rating,label_fox_dvd,label_wikipedia,label_dom111,label_derived,label_contested,label_rationale,imdb_id,wikidata_qid,director,writers,guest_cast,tagline_text,tagline_is_variant,logline,review_status
film-1998,,,The X-Files: Fight the Future,1998-06-19,,121,,,mythology,,mythology,True,"1 of 1 voting sources say mythology. Fox DVDs, dom111 do not cover this record and abstain.",tt0120902,Q1129381,Rob Bowman,Chris Carter,,The Truth Is Out There,False,,ai-drafted
film-2008,,,The X-Files: I Want to Believe,2008-07-24,,104,,,not-flagged,,standalone,True,"0 of 1 voting sources say mythology; features no non-recurring paranormal antagonist. Fox DVDs, dom111 do not cover this record and abstain.",tt0443701,Q421875,Chris Carter,Chris Carter; Frank Spotnitz,,The Truth Is Out There,False,,ai-drafted
s01e01,1,1,Pilot,1993-09-10,1X79,60,8.1,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0170817,Q1969580,Robert Mandel,Chris Carter,Charles Cioffi; Sarah Koskoff; Leon Russom; Cliff DeYoung; William B. Davis; Ken Camroux-Taylor; Zachary Ansley; Jim Jansen; Malcolm Stewart; Doug Abrahams; Stephen E. Miller; Katya Gardner; Alexandra Berlin; Ric Reid; Lesley Ewen; J.B. Bivens,The Truth Is Out There,False,"A skeptical FBI agent joins a maverick believer to probe unexplained deaths in Oregon, uncovering evidence of a vast government conspiracy hiding the truth.",human-reviewed
s01e02,1,2,Deep Throat,1993-09-17,1X01,60,7.8,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751099,Q11681033,Dan Sackheim,Chris Carter,Jerry Hardin; Seth Green; Gabrielle Rose; Michael Bryan French; Monica Parker; Michael Puttonen; Andrew Johnston; Johnny Cuthbert; Vince Metcalfe; Sheila Moore; Brian Furlong; Doc Harris; Lalainia Lindbjerg,The Truth Is Out There,False,,ai-drafted
s01e03,1,3,Squeeze,1993-09-24,1X02,60,8.1,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751208,Q1061237,Harry Longstreet,James Wong; Glen Morgan,Doug Hutchison; Henry Beckman; Donal Logue; Kevin McNulty; Colleen Winton; Gary Hetherington; Rob Morton; Terence Kelly; Paul Joyce; James Bell,The Truth Is Out There,False,,ai-drafted
s01e04,1,4,Conduit,1993-10-01,1X03,60,7.3,not-listed,not-flagged,mythology,standalone,True,1 of 3 voting sources say mythology; features no non-recurring paranormal antagonist.,tt0751094,Q13553732,Dan Sackheim,Alex Gansa; Howard Gordon,Charles Cioffi; Michael Cavanaugh; Joel Palmer; Carrie Snodgress; Donald Gibb; Akiko Morison; Don Thompson; Taunya Dee; Anthony Harrison; Mauricio Mercado; Glen Roald; Shelly Owens,The Truth Is Out There,False,,ai-drafted
s01e05,1,5,The Jersey Devil,1993-10-08,1X04,60,7.1,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751229,Q2003114,Joe Napolitano,Chris Carter,Lachlan Murdoch; Michael MacRae; Gregory Sierra; Wayne Tippit; Jessica Murdoch; Rhys Huber; Claire Stansfield; Tamsin Kelsey; Andrew Airlie; David Lewis; Hrothgar Mathews; Bill Dow; Jill Teed; Scott Swanson; D. Neil Mark; Jayme Knox; Sean O'Byrne,The Truth Is Out There,False,,ai-drafted
s01e06,1,6,Shadows,1993-10-22,1X05,60,7.3,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751201,Q2648415,Michael Katleman,James Wong; Glen Morgan,Lisa Waltz; Barry Primus; Veena Sood; Tom Heaton; Nora McLellan; Deryl Hayes; Kelli Fox; Lorena Gale; Tom Pickett; Janie Woods-Morris; Anna Ferguson,The Truth Is Out There,False,,ai-drafted
s01e07,1,7,Ghost in the Machine,1993-10-29,1X06,60,7.2,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751131,Q2647533,Jerrold Freedman,Alex Gansa; Howard Gordon,Jerry Hardin; Rob LaBelle; Blu Mankuma; Wayne Duvall; Gillian Barber; Marc Baur; Tom Butler; Bill Finck; Theodore Thomas,The Truth Is Out There,False,,ai-drafted
s01e08,1,8,Ice,1993-11-05,1X07,60,8.6,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751141,Q2648411,David Nutter,James Wong; Glen Morgan,Jeff Kober; Xander Berkeley; Felicity Huffman; Steve Hytner; Ken Kirzinger; Sonny Surowiec,The Truth Is Out There,False,,ai-drafted
s01e09,1,9,Space,1993-11-12,1X08,60,7,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751207,Q1459905,William Graham,Chris Carter,Susanna Thompson; Ed Lauter; Norma Wick; Tom McBeath; Alfred E. Humphreys; David Cameron; Terry David Mulligan; French Tickner; Paul Desroches; Tyronne L'Hirondelle,The Truth Is Out There,False,,ai-drafted
s01e10,1,10,Fallen Angel,1993-11-19,1X09,60,7.9,mythology,mythology,mythology,mythology,False,3 of 3 voting sources say mythology.,tt0751120,Q2613153,Larry Shaw,Alex Gansa; Howard Gordon,Jerry Hardin; Scott Bellis; Frederick Coffin; Marshall Bell; Brent Stait; William MacDonald; Alvin Sanders; Michael Rogers; Sheila Paterson; Kimberly Unger; Freda Perry; Jane MacDougall; Tony Pantages,The Truth Is Out There,False,,ai-drafted
s01e11,1,11,Eve,1993-12-10,1X10,60,8.1,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751116,Q2648421,Fred Gerber,Chris Brancato; Kenneth Biller,Jerry Hardin; Harriet Sansom Harris; Harriet Sansom Harris; Sabrina Krievins; Erika Krievins; Robert Lewis; Tasha Simms; Maria Herrera; George Touliatos; Garry Davey; Gordon Tipple; Joe Maffei; Christine Upright-Letain; David Kirby; Janet Hodgkinson; Tina Gilbertson,The Truth Is Out There,False,,ai-drafted
s01e12,1,12,Fire,1993-12-17,1X11,60,7.6,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751124,Q2607777,Larry Shaw,Chris Carter,Mark Sheppard; Amanda Pays; Dan Lett; Laurie Paton; Lynda Boyd; Alan Robertson; Christopher Gray; Duncan Fraser; Phil Hayes; Keegan MacIntosh,The Truth Is Out There,False,,ai-drafted
s01e13,1,13,Beyond the Sea,1994-01-07,1X12,60,8.1,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751083,Q2607810,David Nutter,James Wong; Glen Morgan,Sheila Larken; Don S. Davis; Brad Dourif; Len Rose; Fred Henderson; Randy Lee; Don MacKay; Chad Willett; Lisa Vultaggio; Katherynn Chisholm; Lawrence King-Phillips,The Truth Is Out There,False,,ai-drafted
s01e14,1,14,Gender Bender,1994-01-21,1X13,60,7.6,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751129,Q13218249,Rob Bowman,Larry Barber; Paul Barber,Brent Hinkley; Michele Goodger; Mitchell Kosterman; Nicholas Lea; Peter Stebbings; Doug Abrahams; Grai Carrington; Paul Batten; Tony Morelli; John R. Taylor; Lesley Ewen; David Thomson; Kate Twa; Aundrea MacDonald,The Truth Is Out There,False,,ai-drafted
s01e15,1,15,Lazarus,1994-02-04,1X14,60,7.4,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751152,Q5222290,David Nutter,Alex Gansa; Howard Gordon,Cec Verrell; Christopher Allport; Jackson Davies; Callum Keith Rennie; Brenda Crichlow; Jay Brazeau; Peter Kelamis; Lisa Bunting; Jason Schombing; Alexander Boynton; Mark Saunders; Russel Hamilton,The Truth Is Out There,False,,ai-drafted
s01e16,1,16,Young at Heart,1994-02-11,1X15,60,7.7,not-listed,not-flagged,motw,monster-of-the-week,False,0 of 3 voting sources say mythology; features a non-recurring paranormal antagonist.,tt0751265,Q10747753,Michael Lange,Chris Carter; Scott Kaufer,Jerry Hardin; Graham Jarvis; Christine Estabrook; Alan Boyce; Dick Anthony Williams; William B. Davis; Gordon Tipple; Merrilyn Gann; Robin Mossley; Robin Douglas; Courtney Arciaga; David Petersen,The Truth Is Out There,False,,ai-drafted
